"FARMACIA";"DENOMINAZI";"CHIAVE";"INDIRIZZO";"OMOGENEA";"QUARTIERE";"CIRCOSCRIZ";"TOOLTIP";"Latitudine";"Longitudine";
"61";"Comunale Borgo Nuovo";"8563-47";"VIA SELINUNTE 47,
37138 Verona";"Borgo Nuovo";"BORGO MILANO";"OVEST";"61 Comunale Borgo Nuovo";"45.4494111058459";"10.9580051656896";
"62";"Comunale Quinto";"9523-85B";"VIA VALPANTENA 85B,
37142 Verona";"Quinto - Centro";"QUINTO";"NORD-EST";"62 Comunale Quinto";"45.493160325278";"11.0186962396295";
"63";"Comunale Ca' di David";"1293-3";"VIA CA' DI APRILI 3,
37135 Verona";"Ca` di David - Centro";"CA' DI DAVID";"SUD";"63 Comunale Ca' di David";"45.382649190545";"11.0013702148511";
"64";"S. Marco";"5054-143";"CORSO MILANO 143,
37138 Verona";"Borgo Milano - Centro";"BORGO MILANO";"OVEST";"64 S. Marco";"45.4439884337704";"10.9660283803087";
"65";"Donaduzzi Dr. Giovanni";"4781-19A";"VIA MARSALA 19A,
37128 Verona";"Valdonega";"VALDONEGA";"NORD-OVEST";"65 Donaduzzi Dr. Giovanni";"45.4527064040228";"11.0009308547911";
"66";"Comunale Palazzina";"7794-22";"VIA SAN GIOVANNI LUPATOTO 22,
37134 Verona";"Polidore";"BORGO ROMA";"SUD";"66 Comunale Palazzina";"45.4121348043841";"10.9991611788307";
"67";"Armani";"9030-11";"VIA TANARO 11,
37136 Verona";"Golosine - Sud";"GOLOSINE";"SUD-OVEST";"67 Armani";"45.4174473616832";"10.962433947724";
"68";"Giarolo Dr. Mario";"4170-5";"VIA ANTONIO GUGLIELMI 5,
37132 Verona";"Frugose";"S. MICHELE";"SUD-EST";"68 Giarolo Dr. Mario";"45.4327742062123";"11.0520094235837";
"69";"Farmacia XXIV Giugno";"9613-32A";"VIA VENTIQUATTRO GIUGNO 32A,
37139 Verona";"S. Massimo - Centro";"S. MASSIMO";"OVEST";"69 Farmacia XXIV Giugno";"45.4337119080567";"10.9469359207451";
"70";"Farmacia Pancaldo di Dr.ssa Luisa Bonetta";"5942-34";"VIA LEONE PANCALDO 34,
37138 Verona";"Navigatori";"BORGO MILANO";"OVEST";"70 Farmacia Pancaldo di Dr.ssa Luisa Bonetta";"45.4509216031473";"10.9715605799073";
"71";"Farmacia dell'Immacolata";"9001-3";"VIA DON L. STURZO 3,
37138 Verona";"Borgo Milano - Centro";"BORGO MILANO";"OVEST";"71 Farmacia dell'Immacolata";"45.4403563368035";"10.9664809031079";
"72";"Madonna della Salute s.n.c. dei dottori Ermanno Forgione e Maria Teresa Forgione";"4687-127B";"VIA MANTOVANA 127B,
37137 Verona";"Quadrante Nord-Est";"S. LUCIA";"SUD-OVEST";"72 Madonna della Salute s.n.c. dei dottori Ermanno Forgione e Maria Teresa Forgione";"45.4069352244943";"10.9314435142142";
"73";"Farmacia ZAI";"6151-12";"LARGO PERLAR 12,
37135 Verona";"Z.A.I. Borgo Roma";"BORGO ROMA";"SUD";"73 Farmacia ZAI";"45.4079189986196";"10.9754512072249";
"75";"San Felice";"676-57";"VIA BELVEDERE 57,
37131 Verona";"S. Felice extra";"BORGO VENEZIA";"EST";"75 San Felice";"45.4575298314678";"11.0347321898738";
"76";"Pantheon";"2389-1C";"VIA DELLA COLLINA 1C,
37142 Verona";"S. Maria in Stelle - Centro";"S. MARIA IN STELLE";"NORD-EST";"76 Pantheon";"45.4965053772699";"11.0343883938462";
"78";"Farmacia Santa Caterina";"8983-25B";"VIA PALMINO E SILVINO STOPPELE 25B,
37133 Verona";"Porto S. Pancrazio - Centro";"PORTO S. PANCRAZIO";"SUD-EST";"78 Farmacia Santa Caterina";"45.4322652214736";"11.0140005830316";
